site,pid,hab,method,secs,d_eff,area_ha,win_px,res,area_ratio,iou_orig,edge_pct,contrast,in_std,compact
millbrook,0,DWOOD,orig,0.0,4.0,0.042445998500073266,138351,0.2999328380672917,1.0,1.0,0.5770157028672663,0.24522404372692108,0.09958407282829285,2.780252670569697
millbrook,0,DWOOD,grabcut2,0.27,4.0,0.042445998500073266,138351,0.2999328380672917,1.0822382365409071,0.7277523742525501,0.8008758533447841,0.28033944964408875,0.10133387893438339,2.5311589456141435
millbrook,1,DWOOD,orig,0.0,9.010263892530267,0.6655653944364446,624016,0.2999328380672917,1.0,1.0,0.5354895180151353,0.23975500464439392,0.06322039663791656,3.242024896761471
millbrook,1,DWOOD,grabcut2,2.96,9.010263892530267,0.6655653944364446,624016,0.2999328380672917,1.3985913779351926,0.6957136713336838,0.8085818974702612,0.5301529169082642,0.06045415252447128,2.334115586656974
millbrook,2,DWOOD,orig,0.0,13.638985284926958,4.710843751410352,1707827,0.5998656761345834,1.0,1.0,0.5939403819610117,0.261170357465744,0.09399707615375519,8.040334468985264
millbrook,2,DWOOD,grabcut2,3.46,13.638985284926958,4.710843751410352,1707827,0.5998656761345834,1.0120293166828433,0.654972120419671,0.7829576453937815,0.46518760919570923,0.06006735935807228,4.156662560592093
millbrook,3,DWOOD,orig,0.0,6.601618826865847,0.4697749956899808,387810,0.2999328380672917,1.0,1.0,0.6004736190534679,0.27518513798713684,0.09935512393712997,4.224805256074933
millbrook,3,DWOOD,grabcut2,1.95,6.601618826865847,0.4697749956899808,387810,0.2999328380672917,0.8998985004883467,0.5984886325185699,0.8694544403075822,0.6558120250701904,0.10576295107603073,1.1248637164845092
millbrook,4,DWOOD,orig,0.0,4.0,0.08853336104990175,396952,0.2999328380672917,1.0,1.0,0.7244782053765824,0.5708643794059753,0.06273619085550308,12.452505622740603
millbrook,4,DWOOD,grabcut2,0.76,4.0,0.08853336104990175,396952,0.2999328380672917,0.8449012823122328,0.46169972585066926,0.8443922241156746,0.3409813940525055,0.06098046898841858,6.587436897459482
millbrook,5,DWOOD,orig,0.0,15.0,1.6914090643252675,720318,0.2999328380672917,1.0,1.0,0.5976145029155931,0.2555757164955139,0.09654677659273148,1.7995670357508764
millbrook,5,DWOOD,grabcut2,4.49,15.0,1.6914090643252675,720318,0.2999328380672917,0.9569881607080173,0.7808091221039691,0.8013140660716881,0.2737917900085449,0.06984099745750427,1.4859666833121725
millbrook,6,DWOOD,orig,0.0,4.0,0.04033630430005902,148379,0.2999328380672917,1.0,1.0,0.5701692696905608,0.28941625356674194,0.05196237936615944,3.515130225939391
millbrook,6,DWOOD,grabcut2,0.29,4.0,0.04033630430005902,148379,0.2999328380672917,1.2612090118224404,0.6211418519110827,0.7738255426913847,0.6527851819992065,0.05473082512617111,2.2745026020005885
millbrook,7,DWOOD,orig,0.0,15.0,1.9673447735000908,1068210,0.2999328380672917,1.0,1.0,0.5515864647126778,0.09122742712497711,0.0554145872592926,2.4127796655037486
millbrook,7,DWOOD,grabcut2,6.33,15.0,1.9673447735000908,1068210,0.2999328380672917,1.362286168943111,0.7122714677767908,0.8096177977103435,0.4468913972377777,0.05063854902982712,2.265048946105528
millbrook,8,DWOOD,orig,0.0,14.143573928523129,0.9587119353655297,595653,0.2999328380672917,1.0,1.0,0.6510208222555203,0.250974178314209,0.07666429877281189,1.976670820557131
