site,pid,hab,method,secs,d_eff,area_ha,win_px,res,area_ratio,iou_orig,edge_pct,contrast,in_std,compact
dunthropfarm,0,DWOOD,orig,0.0,4.0,0.3066725138204844,244338,0.3704545853090021,1.0,1.0,0.7551055157992752,0.27915942668914795,0.37968242168426514,1.2396920047054993
dunthropfarm,0,DWOOD,grabcut2,0.59,4.0,0.3066725138204844,244338,0.3704545853090021,1.0555381517117923,0.6845521895400866,0.8870696086746092,0.4789096415042877,0.4250752925872803,0.874120703196628
dunthropfarm,1,LMEAD,orig,0.0,15.0,4.821383245014923,1235052,0.3704545853090021,1.0,1.0,0.7256575636355787,0.371712863445282,0.21383051574230194,3.2433640476956938
dunthropfarm,1,LMEAD,grabcut2,3.69,15.0,4.821383245014923,1235052,0.3704545853090021,0.9392283278539203,0.7833667958923509,0.8862169411062416,1.0253515243530273,0.060018278658390045,2.8721834716008687
