site,pid,hab,method,secs,d_eff,area_ha,win_px,res,area_ratio,iou_orig,edge_pct,contrast,in_std,compact
northfieldfarm,0,CFPGM,orig,0.0,4.0,0.01394595017919552,242672,0.3999735911892182,1.0,1.0,0.7151884938631113,0.57248455286026,0.10062836855649948,9.650253079266044
northfieldfarm,0,CFPGM,grabcut2,0.34,4.0,0.01394595017919552,242672,0.3999735911892182,3.1228473019517797,0.24600971547536432,0.6619133348827573,0.8580268025398254,0.10382460057735443,1.7133731778003236
northfieldfarm,1,CFPGM,orig,0.0,4.0,0.011983131651614272,265850,0.3999735911892182,1.0,1.0,0.7221503739248891,0.08793295919895172,0.1405615508556366,7.657321035287659
northfieldfarm,1,CFPGM,grabcut2,0.36,4.0,0.011983131651614272,265850,0.3999735911892182,3.5093085106382977,0.23443756825627957,0.8932249706986702,0.6615146994590759,0.18882545828819275,1.4330578847099726
northfieldfarm,2,CFPGM,orig,0.0,4.0,0.02477408411663763,181864,0.3999735911892182,1.0,1.0,0.8758890929832686,0.13125436007976532,0.1225893497467041,20.596678784753987
northfieldfarm,2,CFPGM,grabcut2,0.26,4.0,0.02477408411663763,181864,0.3999735911892182,2.8370895041854474,0.296562228024369,0.9488281524213392,0.8304134607315063,0.10424205660820007,5.016107942574784
northfieldfarm,3,CFPGM,orig,0.0,4.0,0.012268044585388245,80840,0.3999735911892182,1.0,1.0,0.8326866740873694,0.43267732858657837,0.16452251374721527,9.401274242068148
northfieldfarm,3,CFPGM,grabcut2,0.11,4.0,0.012268044585388245,80840,0.3999735911892182,3.405440414507772,0.2858223062381853,0.9605751809537252,1.608032464981079,0.14386208355426788,3.966584321516609
northfieldfarm,4,CFPGM,orig,0.0,4.0,0.07461151515668701,155105,0.3999735911892182,1.0,1.0,0.7905973095508945,0.6154874563217163,0.22026045620441437,2.006904598051275
northfieldfarm,4,CFPGM,grabcut2,0.23,4.0,0.07461151515668701,155105,0.3999735911892182,1.3845659163987138,0.6846887778282599,0.8777239527057431,1.0859521627426147,0.19030046463012695,1.4158728297773417
northfieldfarm,5,CFPGM,orig,0.0,15.0,5.758912285592404,1002432,0.3999735911892182,1.0,1.0,0.7322830672124936,0.12381503731012344,0.2399122714996338,1.773060673999335
northfieldfarm,5,CFPGM,grabcut2,3.22,15.0,5.758912285592404,1002432,0.3999735911892182,1.1298231187440793,0.8800277596582521,0.7977089075563689,0.7343788743019104,0.23232947289943695,0.8087259885769735
northfieldfarm,6,CFPGM,orig,0.0,4.0,0.012336349999947422,52685,0.3999735911892182,1.0,1.0,0.4533195520725096,0.4926907420158386,0.10336791723966599,2.371824743423729
northfieldfarm,6,CFPGM,grabcut2,0.08,4.0,0.012336349999947422,52685,0.3999735911892182,2.108496732026144,0.37695425593514764,0.6601015230127767,1.0181965827941895,0.11605919152498245,0.9808305714848021
northfieldfarm,7,CFPGM,orig,0.0,4.0,0.3170308911343801,881895,0.3999735911892182,1.0,1.0,0.8753149171344385,0.3595661222934723,0.2496325671672821,22.37417385077568
northfieldfarm,7,CFPGM,grabcut2,1.32,4.0,0.3170308911343801,881895,0.3999735911892182,1.0745485725814587,0.5748363135122717,0.955910907312077,1.0346359014511108,0.14628104865550995,17.33087063327441
northfieldfarm,8,CFPGM,orig,0.0,15.0,44.97216584635368,1632384,0.7999471823784364,1.0,1.0,0.8414913867728658,0.19778752326965332,0.11708635091781616,1.59744618052121
