site,pid,hab,method,secs,area_ha,win_px,res,area_ratio,iou_orig,edge_pct,contrast,in_std,compact
dunthropfarm,0,DWOOD,sam2,12.75,0.3066725138204844,244338,0.3704545853090021,1.3780711568583577,0.5591221172466404,0.8871059889418152,1.9556972980499268,0.4964596927165985,1.0289561149678847
dunthropfarm,0,DWOOD,sam2mask,2.26,0.3066725138204844,244338,0.3704545853090021,0.9510405012307004,0.8329199075047299,0.8260309615446344,0.39370328187942505,0.3747847378253937,1.7879973032436423
dunthropfarm,0,DWOOD,sam2iter,2.31,0.3066725138204844,244338,0.3704545853090021,1.3465204743790558,0.5700383279434663,0.8726784334205615,1.670772910118103,0.499986857175827,0.9175450680069035
dunthropfarm,0,DWOOD,sam2auto,4.97,0.3066725138204844,244338,0.3704545853090021,0.16169165361378385,0.16169165361378385,0.8216027220332911,0.04868517071008682,0.3088016211986542,4.479971572077859
dunthropfarm,1,LMEAD,sam2,5.34,4.821383245014923,1235052,0.3704545853090021,0.8039764883366779,0.7267879864530175,0.6376774250311494,0.5784378051757812,0.050214365124702454,3.6737116996554344
dunthropfarm,1,LMEAD,sam2mask,5.26,4.821383245014923,1235052,0.3704545853090021,0.99775984515321,0.9501489335689596,0.7719720751806805,0.35906392335891724,0.22399961948394775,3.2558023425444933
dunthropfarm,1,LMEAD,sam2iter,5.45,4.821383245014923,1235052,0.3704545853090021,0.8442651181987675,0.7635076469163289,0.7193931233238907,0.8153494000434875,0.05139806866645813,4.228590308555633
dunthropfarm,1,LMEAD,sam2auto,7.04,4.821383245014923,1235052,0.3704545853090021,0.9305096565760073,0.9277934112162816,0.734054513487864,0.09966327250003815,0.16695454716682434,3.6779145896684513
hrwallingford,0,DWOOD,sam2,5.07,3.037310075000029,944927,0.33600224309596755,1.0364741302408564,0.8498274732769273,0.6912775037900918,0.471045583486557,0.16962659358978271,3.2217613680510184
hrwallingford,0,DWOOD,sam2mask,5.05,3.037310075000029,944927,0.33600224309596755,1.0122695509961344,0.9607581091456966,0.6492885024289795,0.37215468287467957,0.14297053217887878,2.3867204654922842
hrwallingford,0,DWOOD,sam2iter,5.04,3.037310075000029,944927,0.33600224309596755,1.0649271483794231,0.8914525986074937,0.7174396104632631,0.5774675011634827,0.1640676110982895,2.3423220513243286
hrwallingford,0,DWOOD,sam2auto,3.75,3.037310075000029,944927,0.33600224309596755,0.9967291109128754,0.9925816023738873,0.6192950986329535,0.27011314034461975,0.14193755388259888,2.2425679894473376
hrwallingford,1,DWOOD,sam2,1.92,0.5829846044325725,314104,0.33600224309596755,1.180319612590799,0.5020083000840684,0.538846829902588,0.19969722628593445,0.16342009603977203,7.108204689093964
hrwallingford,1,DWOOD,sam2mask,1.97,0.5829846044325725,314104,0.33600224309596755,0.9999225181598063,0.9470091272535265,0.5339965021446058,0.1882675737142563,0.1659403145313263,2.847099440658867
hrwallingford,1,DWOOD,sam2iter,2.03,0.5829846044325725,314104,0.33600224309596755,0.6402130750605327,0.5832912623174585,0.5632259596677281,0.10587988048791885,0.16946707665920258,6.2178076855877595
hrwallingford,1,DWOOD,sam2auto,3.4,0.5829846044325725,314104,0.33600224309596755,0.9907796610169491,0.9775259279213407,0.5521316441926516,0.15008075535297394,0.16547995805740356,3.0843119621276194
hrwallingford,2,GQSIG,sam2,4.46,0.6269813688570003,288696,0.33600224309596755,1.0389152005186293,0.745786755069,0.5076079261662488,0.4218940734863281,0.07623523473739624,2.9887539365287163
hrwallingford,2,GQSIG,sam2mask,4.47,0.6269813688570003,288696,0.33600224309596755,0.9036394086186095,0.8851380269634068,0.5572922523624402,0.44343501329421997,0.0678427517414093,2.0465206998836045
hrwallingford,2,GQSIG,sam2iter,4.64,0.6269813688570003,288696,0.33600224309596755,0.893969134357386,0.8244804496409117,0.5386820669572202,0.47950711846351624,0.06253676861524582,2.0036216897568053
hrwallingford,2,GQSIG,sam2auto,3.56,0.6269813688570003,288696,0.33600224309596755,0.9398894311285588,0.9383535762483131,0.6046027406360107,0.3862895965576172,0.07775222510099411,2.5332830092252694
hrwallingford,3,GQSIG,sam2,3.74,0.5234629728115676,244791,0.33600224309596755,1.0872584541062802,0.7672881324982196,0.4747999256779116,0.131942480802536,0.0889672115445137,2.3958542502431164
hrwallingford,3,GQSIG,sam2mask,3.74,0.5234629728115676,244791,0.33600224309596755,0.9508497239475501,0.8957770093262077,0.5725185132990395,0.13827916979789734,0.1029215157032013,1.591442940165677
hrwallingford,3,GQSIG,sam2iter,3.8,0.5234629728115676,244791,0.33600224309596755,0.9292831262939959,0.83422525681245,0.4523939112756353,0.10875745117664337,0.08540597558021545,1.3978553276503933
hrwallingford,3,GQSIG,sam2auto,2.8,0.5234629728115676,244791,0.33600224309596755,1.2359601449275361,0.7880585688908818,0.4604033315354412,0.23887205123901367,0.13525517284870148,2.87933561914668
essex,0,CVSHI,sam2,6.96,10.219344647054971,1471080,0.3721115909284903,0.9517333138228831,0.918176031787882,0.6664345527535355,0.44673681259155273,0.11025875061750412,2.0878603278186842
essex,0,CVSHI,sam2mask,6.95,10.219344647054971,1471080,0.3721115909284903,0.9952050358640013,0.976802065141079,0.7416865388117717,0.6449676752090454,0.1087203323841095,1.5520801308846974
essex,0,CVSHI,sam2iter,7.09,10.219344647054971,1471080,0.3721115909284903,0.9851557990748795,0.950224015887425,0.6890037871189045,0.49070683121681213,0.1091843768954277,1.36917871178612
essex,0,CVSHI,sam2auto,6.17,10.219344647054971,1471080,0.3721115909284903,1.003979318922698,0.9938569423830534,0.783532810922199,0.7941917181015015,0.1084660068154335,2.1814501139792157
essex,1,DWOOD,sam2,4.96,0.023944500453630585,249522,0.18605579546424514,1.3096167751265366,0.5292033703561854,0.649329694078584,0.7583054304122925,0.07050430029630661,0.9453691142666999
essex,1,DWOOD,sam2mask,4.94,0.023944500453630585,249522,0.18605579546424514,0.9733911785972523,0.8918619159850271,0.6968314880053682,0.3450683057308197,0.06564344465732574,1.310988893516356
essex,1,DWOOD,sam2iter,5.01,0.023944500453630585,249522,0.18605579546424514,1.874765003615329,0.48229065692342105,0.7477108000247221,0.7930551171302795,0.07122255116701126,0.49858686565254556
essex,1,DWOOD,sam2auto,3.52,0.023944500453630585,249522,0.18605579546424514,0.866232827187274,0.866232827187274,0.6761152159365545,0.2424682378768921,0.06577464938163757,1.7602164724460572
essex,2,DWOOD,sam2,6.1,0.46199955916064184,588654,0.18605579546424514,1.0072758062582423,0.7653264973936882,0.6831866710109684,0.9351764917373657,0.08053677529096603,1.5249433234331635
essex,2,DWOOD,sam2mask,6.15,0.46199955916064184,588654,0.18605579546424514,0.9692632777844383,0.9413194264904674,0.5978003308008888,0.29639971256256104,0.08071619272232056,1.6105243952212804
essex,2,DWOOD,sam2iter,6.24,0.46199955916064184,588654,0.18605579546424514,0.9123156695839827,0.7975953174195094,0.615977275253343,0.837142825126648,0.08020593971014023,2.1888151063638497
essex,2,DWOOD,sam2auto,4.38,0.46199955916064184,588654,0.18605579546424514,0.9623846061623307,0.9059582117359377,0.6572053326269842,0.45549336075782776,0.07954801619052887,2.0681424991427133
blenheim,0,CFPGM,sam2,3.67,9.973107939292593,760362,0.739286702025466,0.8909665337947348,0.7746893596028737,0.6105637944910409,0.1441091001033783,0.08555006980895996,6.961863113336567
blenheim,0,CFPGM,sam2mask,3.69,9.973107939292593,760362,0.739286702025466,0.9987680143676902,0.9405716898181373,0.7099015464731948,0.3390132486820221,0.1685686707496643,3.2752900128742692
blenheim,0,CFPGM,sam2iter,3.71,9.973107939292593,760362,0.739286702025466,0.9406566209645626,0.858796381277042,0.693957718538263,0.10202284157276154,0.12208632379770279,4.235900185336834
blenheim,0,CFPGM,sam2auto,5.91,9.973107939292593,760362,0.739286702025466,1.0107429147137412,0.95757814832189,0.727144588991783,0.3649643361568451,0.16526257991790771,2.5834221699691584
blenheim,1,CFPGM,sam2,3.14,0.6389918504871765,839120,0.369643351012733,0.4030502021347137,0.33199309574576097,0.7445108441666715,0.3985915780067444,0.21719130873680115,17.730623367615475
blenheim,1,CFPGM,sam2mask,3.21,0.6389918504871765,839120,0.369643351012733,0.7737802399948664,0.6664188252315978,0.6525542052616216,0.36077338457107544,0.17356593906879425,25.31006633247366
blenheim,1,CFPGM,sam2iter,3.24,0.6389918504871765,839120,0.369643351012733,0.39864387927530964,0.3390125529867098,0.7310300297034807,0.4599080979824066,0.1882442682981491,18.633352964869
blenheim,1,CFPGM,sam2auto,5.35,0.6389918504871765,839120,0.369643351012733,0.8255224487176744,0.656380397865114,0.714841931385052,0.07928668707609177,0.2550966143608093,16.736137757724503
blenheim,2,CFPGM,sam2,8.59,14.202087085677366,2838384,0.369643351012733,0.7491268917345751,0.7147232146562489,0.5789361942682156,0.23594924807548523,0.08282846212387085,19.05076390508607
blenheim,2,CFPGM,sam2mask,8.5,14.202087085677366,2838384,0.369643351012733,1.000481051385909,0.9255391756023792,0.7685546733673464,0.1605576127767563,0.1380186676979065,3.229198682106227
blenheim,2,CFPGM,sam2iter,8.61,14.202087085677366,2838384,0.369643351012733,1.005288678936684,0.9055759029711696,0.8049497116184933,0.25132840871810913,0.1375577747821808,2.8590159005985383
blenheim,2,CFPGM,sam2auto,5.85,14.202087085677366,2838384,0.369643351012733,0.9970530792099213,0.9823692159883257,0.6688577250554746,0.16410395503044128,0.15169188380241394,12.000043852394507
blenheim,3,CFPGM,sam2,2.92,0.06374221129996696,111858,0.369643351012733,1.3320471596998928,0.44686793456576673,0.7001586833306513,0.19532153010368347,0.024177186191082,1.6596781963879659
blenheim,3,CFPGM,sam2mask,2.94,0.06374221129996696,111858,0.369643351012733,0.8070739549839229,0.7687788501888376,0.4861743965757828,0.21164090931415558,0.026847098022699356,2.5157260426975885
